country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,2021,0.6667,-1.0,1.6667,0.16664999999999996,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,2023,0.6667,-1.0,1.6667,0.16664999999999996,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,2025,0.6667,-1.0,1.6667,0.16664999999999996,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1983,1.0,-0.375,1.375,0.3125,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1984,1.0,-0.5,1.5,0.25,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1985,1.0,-0.4286,1.4285999999999999,0.28570000000000007,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1986,1.0,-0.4286,1.4285999999999999,0.28570000000000007,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1987,1.0,-0.4286,1.4285999999999999,0.28570000000000007,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1988,1.0,-0.5,1.5,0.25,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1989,1.0,-0.4286,1.4285999999999999,0.28570000000000007,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1990,1.0,-0.4286,1.4285999999999999,0.28570000000000007,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1991,1.0,-0.4286,1.4285999999999999,0.28570000000000007,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1992,1.0,-0.4286,1.4285999999999999,0.28570000000000007,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1993,1.0,-0.5,1.5,0.25,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1994,1.0,-0.75,1.75,0.125,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1995,1.0,-0.75,1.75,0.125,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1996,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1997,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1998,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1999,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2000,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2001,1.0,-0.8,1.8,0.09999999999999998,0
IND,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,2002,1.0,-0.8,1.8,0.09999999999999998,0
