country_a,country_b,window_start,window_end,observations,mean_alignment,mean_divergence,directional_agreement
IND,CHN,1984,1988,66,0.9605212121212122,0.07895757575757575,0.9848484848484849
IND,CHN,1985,1989,64,0.9701773437500001,0.05964531249999999,1.0
IND,CHN,1986,1990,60,0.972075,0.05584999999999999,1.0
IND,CHN,1987,1991,53,0.9685528301886792,0.0628943396226415,1.0
IND,CHN,1988,1992,44,0.9670454545454544,0.06590909090909092,1.0
IND,CHN,1989,1993,39,0.9571589743589743,0.08568205128205128,1.0
IND,CHN,1990,1994,36,0.9519680555555554,0.09606388888888888,1.0
IND,CHN,1991,1995,35,0.9467542857142858,0.10649142857142857,1.0
IND,CHN,1992,1996,35,0.9534900000000002,0.09301999999999999,1.0
IND,CHN,1993,1997,37,0.9529472972972973,0.09410540540540539,1.0
IND,CHN,1994,1998,36,0.953665277777778,0.09266944444444444,1.0
IND,CHN,1995,1999,34,0.961689705882353,0.07662058823529412,1.0
IND,CHN,1996,2000,32,0.9584187499999999,0.0831625,1.0
IND,CHN,1997,2001,29,0.9615051724137931,0.0769896551724138,1.0
IND,CHN,1998,2002,27,0.9582111111111111,0.08357777777777776,1.0
IND,CHN,1999,2003,28,0.9541232142857143,0.09175357142857142,1.0
IND,CHN,2000,2004,26,0.9512807692307692,0.09743846153846152,1.0
IND,CHN,2001,2005,27,0.9443425925925927,0.11131481481481481,1.0
IND,CHN,2002,2006,27,0.9443425925925927,0.11131481481481481,1.0
IND,CHN,2003,2007,26,0.9502153846153847,0.09956923076923077,1.0
IND,CHN,2004,2008,22,0.9638909090909091,0.07221818181818182,1.0
IND,CHN,2005,2009,22,0.9695727272727273,0.06085454545454545,1.0
IND,CHN,2006,2010,20,0.9874974999999999,0.025005,1.0
IND,CHN,2007,2011,21,0.9722190476190475,0.055561904761904764,1.0
IND,CHN,2008,2012,21,0.9682499999999999,0.0635,1.0
IND,CHN,2009,2013,21,0.9682499999999999,0.0635,1.0
IND,CHN,2010,2014,20,0.9666625,0.066675,1.0
IND,CHN,2011,2015,19,0.9736815789473683,0.052636842105263155,1.0
IND,CHN,2012,2016,18,0.9814805555555556,0.037038888888888885,1.0
IND,CHN,2013,2017,17,0.9901970588235294,0.019605882352941174,1.0
IND,CHN,2014,2018,18,0.9907416666666666,0.018516666666666667,1.0
IND,CHN,2015,2019,18,0.9907416666666666,0.018516666666666667,1.0
IND,CHN,2016,2020,20,0.9854175,0.029164999999999996,1.0
IND,CHN,2017,2021,19,0.9846499999999999,0.030699999999999995,1.0
IND,CHN,2018,2022,19,0.9675447368421053,0.06491052631578946,0.9473684210526315
IND,CHN,2019,2023,19,0.9587736842105263,0.08245263157894737,0.8947368421052632
IND,CHN,2020,2024,19,0.9434236842105262,0.11315263157894735,0.8947368421052632
IND,CHN,2021,2025,23,0.938408695652174,0.12318260869565216,0.8695652173913043
IND,RUS,1988,1992,6,0.6421333333333333,0.7157333333333334,0.6666666666666666
IND,RUS,1989,1993,13,0.6200884615384616,0.7598230769230768,0.5384615384615384
IND,RUS,1990,1994,21,0.6298952380952381,0.7402095238095238,0.5238095238095238
IND,RUS,1991,1995,29,0.6342931034482759,0.7314137931034482,0.5172413793103449
IND,RUS,1992,1996,36,0.6735236111111111,0.6529527777777777,0.5833333333333334
IND,RUS,1993,1997,37,0.7079148648648649,0.5841702702702702,0.6216216216216216
IND,RUS,1994,1998,36,0.7539680555555556,0.4920638888888889,0.6944444444444444
IND,RUS,1995,1999,34,0.791175,0.41764999999999997,0.7647058823529411
IND,RUS,1996,2000,32,0.8534953125,0.29300937499999996,0.875
IND,RUS,1997,2001,29,0.8623965517241379,0.27520689655172415,0.896551724137931
